議員名,政党,都道府県,選挙区,twitterユーザー名
斉木武志,立憲,福井,2,Saiki_Takeshi
篠原孝,立憲,長野,1,なし
若林健太,自民,長野,1,kenta_1964
手塚大輔,維新,長野,2,daisuketeduka
下条みつ,立憲,長野,2,mitsumatsumoto2
務台俊介,自民,長野,2,mutaishunsuke
神津健,立憲,長野,3,Z4GEGrtfcgBG4fV
井出庸生,自民,長野,3,yousei_ide
池高生,NHK,長野,3,なし
長瀬由希子,共産,長野,4,yukiko_nagase
後藤茂之,自民,長野,4,Goto_Shigeyuki
宮下一郎,自民,長野,5,なし
曽我逸郎,立憲,長野,5,itsuro_soga
土田正光,諸派,岐阜,1,なし
川本慧佑,立憲,岐阜,1,keisukekawamot4
野田聖子,自民,岐阜,1,noda_seiko93
山越徹,共産,岐阜,1,nWl54oOldbi7LxF
三尾圭司,共産,岐阜,2,30keijimio
大谷由里子,国民,岐阜,2,YurikoOtani
棚橋泰文,自民,岐阜,2,なし
阪口直人,立憲,岐阜,3,sakaguchi_naoto
武藤容治,自民,岐阜,3,mutouyouji
金子俊平,自民,岐阜,4,kanekosyunpei
今井雅人,立憲,岐阜,4,imai_masato
佐伯哲也,維新,岐阜,4,なし
古屋圭司,自民,岐阜,5,Furuya_keiji
今井瑠々,立憲,岐阜,5,luluimai
山田良司,維新,岐阜,5,なし
小関祥子,共産,岐阜,5,なし
高橋美穂,国民,静岡,1,mihojimukyoku
青山雅幸,維新,静岡,1,my_fc1
上川陽子,自民,静岡,1,Kamikawa_Yoko
遠藤行洋,立憲,静岡,1,endo_yukihiro
山口祐樹,共産,静岡,2,y_yuuki7
井林辰憲,自民,静岡,2,T_Ibayashi
福村隆,立憲,静岡,2,9ffcipjdsomem3k
小山展弘,立憲,静岡,3,n_koyama1
宮沢博行,自民,静岡,3,なし
深澤陽一,自民,静岡,4,fukazawayoichi
田中健,国民,静岡,4,tanaka_shizuoka
中村憲一,維新,静岡,4,himkena
細野豪志,無所属,静岡,5,hosono_54
小野範和,立憲,静岡,5,Ono_Norikazu
吉川赳,自民,静岡,5,なし
千田光,諸派,静岡,5,なし
勝俣孝明,自民,静岡,6,takaaki_katsu
山下洸棋,維新,静岡,6,YAMAP193
渡辺周,立憲,静岡,6,なし
日吉雄太,立憲,静岡,7,yutahiyoshi
城内実,自民,静岡,7,minoru_kiuchi
源馬謙太郎,立憲,静岡,8,gemmakentaro
塩谷立,自民,静岡,8,shionoya_ryu
熊田裕通,自民,愛知,1,kumada_aichi1
門田節代,NHK,愛知,1,kikijyouzu
吉田統彦,立憲,愛知,1,yoshitune1aichi
古川元久,国民,愛知,2,Fullgen
中川貴元,自民,愛知,2,nkgwtkmt
池田佳隆,自民,愛知,3,ikeda_0620
近藤昭一,立憲,愛知,3,kondo_shoichi
工藤彰三,自民,愛知,4,kudoshozo
中田千代,維新,愛知,4,chiyonokai
牧義夫,立憲,愛知,4,yoshiomaki758
岬麻紀,維新,愛知,5,misakimaki_i
西川厚志,立憲,愛知,5,nishikawa_aichi
神田憲次,自民,愛知,5,kanda_kenji_
内田謙,共産,愛知,6,なし
松田功,立憲,愛知,6,なし
丹羽秀樹,自民,愛知,6,niwajimusyo
須山初美,共産,愛知,7,suyama_hatsumi
森本和義,立憲,愛知,7,gorichan2014
鈴木淳司,自民,愛知,7,jyunji_suzuki
伴野豊,立憲,愛知,8,なし
伊藤忠彦,自民,愛知,8,tadahiko_itoh
長坂康正,自民,愛知,9,nagasakajimusho
岡本充功,立憲,愛知,9,mitsunori_ok
江崎鉄磨,自民,愛知,10,なし
安井美沙子,れいわ,愛知,10,nekoyasui
藤原規眞,立憲,愛知,10,CDP_AICHI10
板倉正文,共産,愛知,10,ITAKURAmasahumi
杉本和巳,維新,愛知,10,sugimoto_real
八木哲也,自民,愛知,11,なし
本多信弘,共産,愛知,11,HondaNobuhiro
梅村忠司,無所属,愛知,11,なし
重徳和彦,立憲,愛知,12,shigetoku2
青山周平,自民,愛知,12,ao_shu_office
石井拓,自民,愛知,13,takuishii
大西健介,立憲,愛知,13,oniken0024
田中克典,立憲,愛知,14,k_tanaka_1010
今枝宗一郎,自民,愛知,14,imaeda_soichiro
野澤康幸,共産,愛知,14,なし
菅谷竜,れいわ,愛知,15,sugayaryu
関健一郎,立憲,愛知,15,sekikenichiro
根本幸典,自民,愛知,15,nemotoyukinori
松田直久,立憲,三重,1,naohisamatsuda
田村憲久,自民,三重,1,なし
山田いずみ,NHK,三重,1,なし
中川正春,立憲,三重,2,mienakagawa0610
川崎秀人,自民,三重,2,kawasaki_hideto
岡田克也,立憲,三重,3,okada_katsuya
石原正敬,自民,三重,3,なし
中川民英,共産,三重,4,tamihide123456
坊農秀治,立憲,三重,4,Bohno_Shuji
鈴木英敬,自民,三重,4,eikeisuzuki
石破茂,自民,鳥取,1,shigeruishiba
岡田正和,共産,鳥取,1,OkadaAim990
赤沢亮正,自民,鳥取,2,ryosei_akazawa
湯原俊二,立憲,鳥取,2,knSKyYgHfPJlMSB
亀井亜紀子,立憲,島根,1,kameiakikoweb
細田博之,自民,島根,1,hosodahiroyuki
亀井彰子,無所属,島根,1,なし
向瀬慎一,共産,島根,2,mukose3
山本誉,立憲,島根,2,yamamotohomaru
高見康裕,自民,島根,2,なし
逢沢一郎,自民,岡山,1,ichiroaisawa
余江雪央,共産,岡山,1,mryukio51
原田謙介,立憲,岡山,1,haraken0814
山下貴司,自民,岡山,2,YAMASHITA_OK
津村啓介,立憲,岡山,2,Tsumura_Keisuke
阿部俊子,自民,岡山,3,abetoshiko
平沼正二郎,無所属,岡山,3,HiranumaShojiro
森本栄,立憲,岡山,3,morimoto_sakae
尾崎宏子,共産,岡山,3,HirokoOzaki1956
橋本岳,自民,岡山,4,ga9_h
柚木道義,立憲,岡山,4,yunoki_m
中川智晴,無所属,岡山,4,なし
加藤勝信,自民,岡山,5,KatsunobuKato1
美見芳明,共産,岡山,5,なし
はたともこ,立憲,岡山,5,hatatomo21
上出圭一,諸派,広島,1,なし
岸田文雄,自民,広島,1,kishida230
大西理,共産,広島,1,peaceosanishi
有田優子,社民,広島,1,yuukotomoni2021
平口洋,自民,広島,2,hiraguchi0801
大井赤亥,立憲,広島,2,AkaiOHI
大山宏,無所属,広島,3,なし
矢島秀平,NHK,広島,3,jc_ygyg
斉藤鉄夫,公明,広島,3,saitotetsuo
玉田憲勲,無所属,広島,3,なし
ライアン真由美,立憲,広島,3,mayumiryan
瀬木寛親,維新,広島,3,ambitious45
空本誠喜,維新,広島,4,seiki_soramoto
新谷正義,自民,広島,4,Shintani_dr
中川俊直,無所属,広島,4,nakagawa_2021
上野寛治,立憲,広島,4,KanjiUeno
野村功次郎,立憲,広島,5,bosaispecialist
寺田稔,自民,広島,5,terada124
佐藤公治,立憲,広島,6,kouji_satou
小島敏文,自民,広島,6,なし
佐藤広典,立憲,広島,7,satohironori
橋本加代,無所属,広島,7,なし
村井明美,共産,広島,7,murai_akemi
小林史明,自民,広島,7,kb2474
大内一也,立憲,山口,1,ouchi_kazuya
高村正大,自民,山口,1,なし
松田一志,共産,山口,2,jcpkazushi53
岸信夫,自民,山口,2,KishiNobuo
坂本史子,立憲,山口,3,sakamotofumiko
林芳正,自民,山口,3,hayashi09615064
安倍晋三,自民,山口,4,AbeShinzo
竹村克司,れいわ,山口,4,takemura821
大野頼子,無所属,山口,4,なし
船橋利実,自民,北海道,1,t_funahashi1020
道下大樹,立憲,北海道,1,michishitadaiki
小林悟,維新,北海道,1,なし
高橋祐介,自民,北海道,2,2kuTakahashi
松木謙公,立憲,北海道,2,kenkou64865187
山崎泉,維新,北海道,2,izumiyamazaki75
高木宏壽,自民,北海道,3,takagi_hirohisa
荒井優,立憲,北海道,3,araiyutaka
小和田康文,維新,北海道,3,kujira0827
中村裕之,自民,北海道,4,nakamurahiro3
大築紅葉,立憲,北海道,4,kurehaotsuki
和田義明,自民,北海道,5,ywada_hokkaido5
池田真紀,立憲,北海道,5,ikemakihonki
橋本美香,共産,北海道,5,hashimika1026
大津伸太郎,無所属,北海道,5,saboten50110837
東国幹,自民,北海道,6,なし
西川将人,立憲,北海道,6,なし
齊藤忠行,NHK,北海道,6,GoooonYukiyuki
伊東良孝,自民,北海道,7,なし
篠田奈保子,立憲,北海道,7,yorisoibengoshi
石川明美,共産,北海道,7,なし
前田一男,自民,北海道,8,DonanMaeda
逢坂誠二,立憲,北海道,8,seiji_ohsaka
堀井学,自民,北海道,9,horiimanabu
山岡達丸,立憲,北海道,9,tatumaru1979
神谷裕,立憲,北海道,10,kamiyahokkaido
稲津久,公明,北海道,10,InatsuHisashi
中川郁子,自民,北海道,11,nakagawayuko
石川香織,立憲,北海道,11,IshikawaKaori11
武部新,自民,北海道,12,takebearata
川原田英世,立憲,北海道,12,kawaharadaeisei
菅原誠,共産,北海道,12,sugawara_makoto
田所嘉德,自民,茨城,1,tadokoroyoshin
福島伸享,無所属,茨城,1,fukuchan_ib
額賀福志郎,自民,茨城,2,なし
藤田幸久,立憲,茨城,2,yfujitaDPJ
葉梨康弘,自民,茨城,3,874ibaraki
梶岡博樹,立憲,茨城,3,kajiokahiroki
岸野智康,維新,茨城,3,KishinoTomoyasu
梶山弘志,自民,茨城,4,kajiyamahiroshi
大内久美子,共産,茨城,4,なし
武藤優子,維新,茨城,4,YukoMuto_japan
石川昭政,自民,茨城,5,iakimasa1
飯田美弥子,共産,茨城,5,なし
浅野哲,国民,茨城,5,Asano__Satoshi
田村弘,無所属,茨城,5,amuhiro583
国光文乃,自民,茨城,6,ayano_kunimitsu
青山大人,立憲,茨城,6,aoyamayamato
永岡桂子,自民,茨城,7,keiko_nagaoka
中村喜四郎,立憲,茨城,7,KishiroNakamura
水梨伸晃,維新,茨城,7,MizunasiNobuaki
船田元,自民,栃木,1,なし
渡辺典喜,立憲,栃木,1,n_watanabe214
青木弘,共産,栃木,1,なし
柏倉祐司,維新,栃木,1,Kashiwakura_Y
五十嵐清,自民,栃木,2,なし
福田昭夫,立憲,栃木,2,なし
簗和生,自民,栃木,3,なし
伊賀央,立憲,栃木,3,igahiroshi
佐藤勉,自民,栃木,4,atotsutomu310
藤岡隆雄,立憲,栃木,4,FujiokaTakao
茂木敏充,自民,栃木,5,moteging
岡村恵子,共産,栃木,5,yJLS8HQDpkBMakR
中曽根康隆,自民,群馬,1,yasutaka_nksn
店橋世津子,共産,群馬,1,setuko2525de15
宮崎岳志,維新,群馬,1,MIYAZAKI_Takesh
斉藤敦子,無所属,群馬,1,saitoh_atsuko
井野俊郎,自民,群馬,2,OlHtpHMOe6pxi7i
堀越啓仁,立憲,群馬,2,horikoshikeinin
石関貴史,無所属,群馬,2,wareigai
笹川博義,自民,群馬,3,なし
長谷川嘉一,立憲,群馬,3,HasegawaKaichi
説田健二,NHK,群馬,3,driver_syoha
福田達夫,自民,群馬,4,Fukuda19670305
角倉邦良,立憲,群馬,4,kadokura1433
小渕優子,自民,群馬,5,なし
伊藤達也,共産,群馬,5,Tatsuya_jcp
村井英樹,自民,埼玉,1,muraihideki
武正公一,立憲,埼玉,1,takemasakoichi
吉村豪介,維新,埼玉,1,なし
佐藤真実,無所属,埼玉,1,satomanami_1
新藤義孝,自民,埼玉,2,shindo_y
奥田智子,共産,埼玉,2,なし
高橋英明,維新,埼玉,2,hide24004517
黄川田仁志,自民,埼玉,3,kikawadahitoshi
山川百合子,立憲,埼玉,3,yamakawa_yuriko
河合悠祐,NHK,埼玉,3,migikatakawai
穂坂泰,自民,埼玉,4,Hosaka_saitama4
工藤薫,共産,埼玉,4,jNODu9l8kvlmtek
浅野克彦,国民,埼玉,4,katsuhikoasano
遠藤宣彦,無所属,埼玉,4,NOBUHIKO_ENDO
小笠原洋輝,無所属,埼玉,4,なし
牧原秀樹,自民,埼玉,5,hmakihara
枝野幸男,立憲,埼玉,5,edanoyukio0531
中根一幸,自民,埼玉,6,Nakane_Kazuyuki
大島敦,立憲,埼玉,6,なし
中野英幸,自民,埼玉,7,HideNakano
小宮山泰子,立憲,埼玉,7,komiyama_yasko
伊勢田享子,維新,埼玉,7,Iseda_michiko
柴山昌彦,自民,埼玉,8,shiba_masa
小野塚勝俊,無所属,埼玉,8,onozukaonozuka
大塚拓,自民,埼玉,9,otsukataku
杉村慎治,立憲,埼玉,9,sugimura_shinji
神田三春,共産,埼玉,9,MdvBIk2LDfZCbnU
山口晋,自民,埼玉,10,yamaguchisusumu
坂本祐之輔,立憲,埼玉,10,yunosuke_waka
小泉龍司,自民,埼玉,11,なし
島田誠,立憲,埼玉,11,shimadamakoto11
小山森也,共産,埼玉,11,koyama_shinnya
野中厚,自民,埼玉,12,nonakajimusho
森田俊和,立憲,埼玉,12,mori_morita
土屋品子,自民,埼玉,13,shinako_jimusho
三角創太,立憲,埼玉,13,misumikouenkai1
赤岸雅治,共産,埼玉,13,akagishi_ma
三ッ林裕巳,自民,埼玉,14,なし
田村勉,共産,埼玉,14,wtjcp
鈴木義弘,国民,埼玉,14,なし
田中良生,自民,埼玉,15,Tanaka_Ryosei
高木錬太郎,立憲,埼玉,15,takagirentaro
沢田良,維新,埼玉,15,saitama_ishin
門山宏哲,自民,千葉,1,なし
田嶋要,立憲,千葉,1,kanametajima
小林鷹之,自民,千葉,2,kobahawk
黒田雄,立憲,千葉,2,kurodayuu322
寺尾賢,共産,千葉,2,sterao2562
松野博一,自民,千葉,3,MatsunoHirokazu
岡島一正,立憲,千葉,3,kazu_okajima
木村哲也,自民,千葉,4,Kimura_Tetsuya_
野田佳彦,立憲,千葉,4,NODAYOSHI55
矢崎堅太郎,立憲,千葉,5,k_yazaki
鴇田敦,国民,千葉,5,tokita812
椎木保,維新,千葉,5,Tamotsu_Shiiki
薗浦健太郎,自民,千葉,5,sonourakentaro
藤巻健太,維新,千葉,6,3tsrZebpqP9nnSl
渡辺博道,自民,千葉,6,なし
浅野史子,共産,千葉,6,asafum814
生方幸夫,無所属,千葉,6,ubukatayukio66
内山晃,維新,千葉,7,_uchiyamaakira
齋藤健,自民,千葉,7,saitou_ken
竹内千春,立憲,千葉,7,takeuchi_cdp
渡辺晋宏,NHK,千葉,7,kuni_nabe_
本庄知史,立憲,千葉,8,honjosatoshi
桜田義孝,自民,千葉,8,ysakurada
宮岡進一郎,無所属,千葉,8,なし
奥野総一郎,立憲,千葉,9,sokuno2
秋本真利,自民,千葉,9,akimoto_chiba9
今留尚人,無所属,千葉,10,ImadomeNao
梓まり,諸派,千葉,10,azutarou3
谷田川元,立憲,千葉,10,hajimestaff
林幹雄,自民,千葉,10,なし
多ケ谷亮,れいわ,千葉,11,RyoTagaya
森英介,自民,千葉,11,なし
椎名史明,共産,千葉,11,fumiakishiina
葛原茂,共産,千葉,12,なし
浜田靖一,自民,千葉,12,yasukazuhamada
樋高剛,立憲,千葉,12,hidaka_takeshi
宮川伸,立憲,千葉,13,Shin1Miyakawa
松本尚,自民,千葉,13,hmatsu63
清水聖士,維新,千葉,13,KamagayaKiyoshi
中谷真一,自民,山梨,1,nakatani80
中島克仁,立憲,山梨,1,KatsuNakajima
辺見信介,NHK,山梨,1,なし
市来伴子,立憲,山梨,2,ichiki_tomoko
大久保令子,共産,山梨,2,500313Jcp
堀内詔子,自民,山梨,2,genkihoriuchi
浅川義治,維新,神奈川,1,asakawayosiharu
松本純,無所属,神奈川,1,junmatsumoto411
篠原豪,立憲,神奈川,1,go_shinohara
菅義偉,自民,神奈川,2,sugawitter
岡本英子,立憲,神奈川,2,okamoto_eiko
中西健治,自民,神奈川,3,Kenji_Nakanishi
小林丈人,立憲,神奈川,3,kobayashitaketo
藤村晃子,無所属,神奈川,3,akikofujimura
木佐木忠晶,共産,神奈川,3,kisaki_tadamasa
山本朋広,自民,神奈川,4,ty_polepole
浅尾慶一郎,無所属,神奈川,4,asao_keiichiro
早稲田夕季,立憲,神奈川,4,waseda_yuki
大西恒樹,無所属,神奈川,4,tsune0024
高谷清彦,維新,神奈川,4,TAKAYA_ZUSHI
山崎誠,立憲,神奈川,5,yamazakimakoto
坂井学,自民,神奈川,5,sakai_manabu
串田誠一,維新,神奈川,6,KushidaOf
青柳陽一郎,立憲,神奈川,6,aoyagy
古川直季,自民,神奈川,6,FurukawaNaoki
中谷一馬,立憲,神奈川,7,kazuma_nakatani
鈴木馨祐,自民,神奈川,7,SuzukiKeisukeMP
三谷英弘,自民,神奈川,8,mitani_h
江田憲司,立憲,神奈川,8,edaoffice
斉藤温,共産,神奈川,9,nodokajcp
中山展宏,自民,神奈川,9,norihiron
笠浩史,立憲,神奈川,9,hirofumi_ryu
吉田大成,維新,神奈川,9,Taisei_YSD
鈴木敦,国民,神奈川,10,suzukiatsushi_
田中和徳,自民,神奈川,10,t_kazunori
畑野君枝,共産,神奈川,10,hatanokimie
金村龍那,維新,神奈川,10,you__yachainayo
林伸明,共産,神奈川,11,nobuakiinsta
小泉進次郎,自民,神奈川,11,なし
星野剛士,自民,神奈川,12,hossys
阿部知子,立憲,神奈川,12,abe_tomoko
水戸将史,維新,神奈川,12,mito_m_kickoff
太栄志,立憲,神奈川,13,h_futori
甘利明,自民,神奈川,13,Akira_Amari
長友克洋,立憲,神奈川,14,なし
赤間二郎,自民,神奈川,14,なし
佐々木克己,社民,神奈川,15,k15ku_katsumi
河野太郎,自民,神奈川,15,konotarogomame
渡辺麻里子,NHK,神奈川,15,なし
義家弘介,自民,神奈川,16,yoshiiehiroyuki
後藤祐一,立憲,神奈川,16,yuichi510510
牧島かれん,自民,神奈川,17,makishimakaren
神山洋介,立憲,神奈川,17,KAMIYAMA_Yosuke
山田正,共産,神奈川,17,fujisanhakoneya
三村和也,立憲,神奈川,18,mimurakazuya99
横田光弘,維新,神奈川,18,なし
山際大志郎,自民,神奈川,18,yamagiwa001
山田美樹,自民,東京,1,yamada_miki
海江田万里,立憲,東京,1,banrikaieda
小野泰輔,維新,東京,1,taisukeono
内藤久遠,無所属,東京,1,なし
木内孝胤,維新,東京,2,takatanekiuchi
松尾明弘,立憲,東京,2,matsuo_akihiro
辻清人,自民,東京,2,tujikiyoto
北村造,れいわ,東京,2,ItaruKitamura
出口紳一郎,無所属,東京,2,deguchi2021
香西克介,共産,東京,3,kouzai2007
松原仁,立憲,東京,3,matsubarajin731
石原宏高,自民,東京,3,hirotaka_tokyo3
林智興,維新,東京,4,HayashiTomooki
平将明,自民,東京,4,TAIRAMASAAKI
谷川智行,共産,東京,4,ttanigawa3
手塚仁雄,立憲,東京,5,t440_com
若宮健嗣,自民,東京,5,wakamiya7788
田淵正文,維新,東京,5,tabuchi_doctor
越智隆雄,自民,東京,6,ochitakao
碓井梨恵,維新,東京,6,rieusui_ishin
落合貴之,立憲,東京,6,ochiaitakayuki
辻健太郎,維新,東京,7,kentaro_tsuji
松本文明,自民,東京,7,Matsumoto_7ku
長妻昭,立憲,東京,7,nagatsumaakira
猪野恵司,NHK,東京,7,keijiino
込山洋,無所属,東京,7,komiyama0509
石原伸晃,自民,東京,8,IshiharaNobu
吉田晴美,立憲,東京,8,YoshidaHarumi
笠谷圭司,維新,東京,8,Ishin_Kasatani
山岸一生,立憲,東京,9,isseiyamagishi
安藤高夫,自民,東京,9,AndoTakao1959
小林興起,諸派,東京,9,YamatoParty
南純,維新,東京,9,minna_no_minami
鈴木庸介,立憲,東京,10,20161023yousuke
鈴木隼人,自民,東京,10,HYT4ALL
小山徹,無所属,東京,10,ichibanboshi_ko
藤川隆史,維新,東京,10,Ishin_Fujikawa
沢口祐司,諸派,東京,10,a6RClLbGL4MGwYW
下村博文,自民,東京,11,hakubun_s
桑島康文,無所属,東京,11,なし
西之原修斗,共産,東京,11,S_nishinohara
阿久津幸彦,立憲,東京,11,akutsu0626
岡本三成,公明,東京,12,okamoto3nari
阿部司,維新,東京,12,abe2kasa
池内沙織,共産,東京,12,ikeuchi_saori
土田慎,自民,東京,13,tsuchidashin
沢田真吾,共産,東京,13,sawada_shingo3
渡辺秀高,無所属,東京,13,Jy6x7dGO53YkUCj
北條智彦,立憲,東京,13,KitajoTomohiko
橋本孫美,無所属,東京,13,honchi_0425
大塚紀久雄,無所属,東京,14,なし
松島みどり,自民,東京,14,matusimamidori
竹本秀之,無所属,東京,14,qnDHS5YTCn2u6y5
西村恵美,維新,東京,14,happymania28jp
木村剛司,立憲,東京,14,kimurataketsuka
梁本和則,無所属,東京,14,なし
桜井誠,諸派,東京,15,SakuraiOuen
井戸正枝,立憲,東京,15,idomasae
柿沢未途,無所属,東京,15,310kakizawa
猪野隆,無所属,東京,15,ino_takasi
今村洋史,無所属,東京,15,imamura_jimin
金澤結衣,維新,東京,15,kanazawa_yui
吉田浩司,無所属,東京,15,なし
水野素子,立憲,東京,16,spacemom2019
中津川博郷,維新,東京,16,h_nakatsugawa
太田彩花,共産,東京,16,jcp_oaya
大西英男,自民,東京,16,0024hideo
田中健,NHK,東京,16,edoken
猪口幸子,維新,東京,17,sachi_inokuchi
新井杉生,共産,東京,17,over_wash
平沢勝栄,自民,東京,17,katsueihirasawa
円より子,国民,東京,17,madokayoriko
長島昭久,自民,東京,18,nagashima21
子安正美,無所属,東京,18,masami_koyasu
菅直人,立憲,東京,18,NaotoKan
末松義規,立憲,東京,19,9999suematsu
松本洋平,自民,東京,19,matsumoto_yohei
山崎英昭,維新,東京,19,YamazakiHideaki
前田順一郎,維新,東京,20,maejun_jp
宮本徹,共産,東京,20,miyamototooru
木原誠二,自民,東京,20,kihara_seiji
竹田光明,維新,東京,21,tachikawa2021
大河原雅子,立憲,東京,21,Waku2_ookawara
小田原潔,自民,東京,21,odawarakiyoshi
伊藤達也,自民,東京,22,tatsuyaito0501
長谷川洋平,NHK,東京,22,YH16816213
櫛渕万里,れいわ,東京,22,kushibuchi
山花郁夫,立憲,東京,22,yamahanaikuo
小倉將信,自民,東京,23,masanobu_ogura
伊藤俊輔,立憲,東京,23,shun76450
佐藤由美,国民,東京,24,satoyumi2021
吉川穂香,共産,東京,24,24h_yoshikawa
朝倉玲子,社民,東京,24,asanyanpii
萩生田光一,自民,東京,24,なし
島田幸成,立憲,東京,25,ShimadaYukinari
井上信治,自民,東京,25,なし
大岡敏孝,自民,滋賀,1,なし
斎藤アレックス,国民,滋賀,1,AlexSaito2019
田島一成,立憲,滋賀,2,tajimaissei
徳永久志,立憲,滋賀,4,1097naga3119
日高千穂,NHK,滋賀,1,c_hidaka
上野賢一郎,自民,滋賀,2,Ueno_Kenichiro
武村展英,自民,滋賀,3,nobu_takemura
佐藤耕平,共産,滋賀,3,なし
直山仁,維新,滋賀,3,なし
高井崇志,れいわ,滋賀,3,t_takai
小寺裕雄,自民,滋賀,4,なし
勝目康,自民,京都,1,なし
穀田恵二,共産,京都,1,kokutakeiji
堀場幸子,維新,京都,1,なし
繁本護,自民,京都,2,なし
地坂拓晃,共産,京都,2,chitak21
前原誠司,国民,京都,2,Maehara2016
中辰哉,れいわ,京都,2,なし
木村弥生,自民,京都,3,kimura841
泉健太,立憲,京都,3,office50824963
井上博明,維新,京都,3,なし
田中英之,自民,京都,4,Tanaka_Hide
吉田幸一,共産,京都,4,koichiyoshida4
北神圭朗,無所属,京都,4,kitagamikeiro
本田太郎,自民,京都,5,kyoto_honda
山本和嘉子,立憲,京都,5,wakako718
山内健,共産,京都,5,kyamauchi2
井上一徳,無所属,京都,5,kazunori_0731
清水鴻一郎,自民,京都,6,なし
山井和則,立憲,京都,6,yamanoikazunori
中嶋秀樹,維新,京都,6,なし
大西宏幸,自民,大阪,1,onishi_hiroyuki
村上賀厚,立憲,大阪,1,
竹内祥倫,共産,大阪,1,
井上英孝,維新,大阪,1,hidetaka_i
